question_type,question
General Questions,responsiveness
General Questions,account_project_setup
General Questions,preparedness
General Questions,participation
General Questions,dbt_enthusiasm
General Questions,point_of_contact
Exit Criteria | Modeling,modeling_every_source_has_a_1_1_relationship_with_a_staging_model
Exit Criteria | Modeling,modeling_minimum_1_fct_and_1_dim_tables_fct_dim_have_been_created_in_the_project
Exit Criteria | Modeling,modeling_no_raw_table_references_are_made_ref_macro_is_used_throughout_models
Exit Criteria | Modeling,modeling_using_the_surrogate_key_from_dbt_utils_in_at_least_one_model
Exit Criteria | Modeling,modeling_import_ctes_utilized
Exit Criteria | Modeling,modeling_fct_and_dim_models_materialized_as_tables
Exit Criteria | Sources,sources_sources_are_configured_for_each_data_source
Exit Criteria | Sources,sources_no_raw_table_references_are_made_source_macro_is_utilized
Exit Criteria | Sources,sources_source_freshness_is_configured_in_dbt_cloud
Exit Criteria | Tests and Docs,tests_docs_tests_not_null_and_unique_tests_are_applied_to_primary_keys_on_all_models
Exit Criteria | Tests and Docs,tests_docs_tests_minimum_1_data_test_is_written_in_the_dbt_project
Exit Criteria | Tests and Docs,tests_docs_docs_descriptions_for_model_and_key_columns_in_the_fct_dim_models_have_been_created
Exit Criteria | Tests and Docs,tests_docs_docs_descriptions_for_model_and_key_findings_on_staging_int_models
Exit Criteria | Tests and Docs,tests_docs_docs_source_descriptions_capture_how_the_data_is_loaded_and_where_to_go_to_learn_more
Exit Criteria | Deployment & Environments,deployment_environments_minimum_1_dbt_cloud_job_is_configured_with_our_preferred_setup
Exit Criteria | Deployment & Environments,deployment_environments_source_freshness_is_snapshot_as_a_step_in_a_job
Exit Criteria | Deployment & Environments,deployment_environments_documentation_is_being_generated_by_a_job
Exit Criteria | Deployment & Environments,deployment_environments_notifications_are_set_up_for_jobs_through_slack_and_or_email
Exit Criteria | Deployment & Environments,deployment_environments_run_on_pr_job_is_set_up_if_using_git_hub
Exit Criteria | Project,project_readme_links_to_an_existing_company_owned_style_guide
Exit Criteria | Project,project_readme_outline_style_of_project_and_how_to_contribute
Exit Criteria | Project,project_pull_request_template_included_in_dbt_project
Exit Criteria | Project,project_pr_template_references_the_style_guide
Exit Criteria | Project,project_dbt_utils_included_in_packages_yml
Exit Criteria | Project,project_process_documented_for_notifications_what_happens_when_a_run_fails
Exit Criteria | Other,other_if_you_opted_in_snapshot_models
Exit Criteria | Other,other_if_you_opted_in_implement_one_incremental_model
Exit Criteria | Other,other_if_you_opted_in_schedule_a_dbt_run_with_and_without_a_full_refresh
Exit Criteria | Other,other_additional_services_context
Exit Criteria | Other,other_additional_services_recommendation
Short Answer Questions,trainer_experience
Short Answer Questions,who_is_point_of_contact
Short Answer Questions,discussion_topics
Short Answer Questions,avoid_topics
Short Answer Questions,red_flags
